0,1,2,3,4,5,6,7,8,9
edu,don,com,just,os,think,comp,new,os2,like
w7,uw,t7,chz,cx,w1,ck,mv,a7,hz
banks,ma,gordon,edu,m9,mp,bank,mu,m0,pitt
00,game,good,year,games,team,just,play,scsi,like
like,thanks,know,new,just,use,card,bit,information,computer
ax,max,b8f,a86,145,0t,1d9,1t,pl,giz
file,program,windows,use,output,version,problem,available,edu,com
people,don,said,armenian,know,just,armenians,like,didn,turkish
key,don,know,chip,clipper,encryption,just,government,people,like
people,god,jesus,does,space,good,believe,know,argument,time
