0,1,2,3,4,5,6,7,8,9
don,think,just,like,know,people,good,time,really,ve
thanks,mail,know,info,advance,looking,does,help,anybody,address
god,jesus,truth,christians,christian,believe,faith,people,bible,christianity
dsl,shameful,cadre,geb,pitt,chastity,n3jxp,intellect,skepticism,banks
chip,key,clipper,government,encryption,keys,phone,use,security,public
scsi,card,drive,video,controller,ide,ram,bus,bit,memory
armenian,armenians,turkish,genocide,soviet,people,government,armenia,muslim,turks
windows,files,file,program,dos,window,use,run,ftp,using
00,edu,offer,sale,new,shipping,condition,com,email,asking
game,games,team,year,season,play,players,runs,hockey,hit
